Los Alamos National Laboratory Poisson Superfish
Program SF7 written by James H. Billen and Lloyd M. Young

The original Poisson Superfish codes were developed
by Ron F. Holsinger in collaboration with Klaus Halbach.
These programs are provided as a service to the accelerator
community by the Los Alamos Accelerator Code Group (LAACG).

(c) Copyright 1985-2005, by the Regents of the University of California.        
This software was produced under U. S. Government contract W-7405-ENG-36        
by Los Alamos National Laboratory, which is operated by the University          
of California for the U. S. Department of Energy.  Neither the Government       
nor the University makes any warranty, express or implied, or assumes           
any liability or responsibility for its use, or represents that use of          
this software would not infringe privately owned rights.                        
Unpublished - rights reserved under Copyright Laws of the United States.        


Program SF7  7.17  released 1-13-2006 

Program file: C:\LANL\SF7.EXE
SF.INI file: C:\LANL\SF.INI 12-29-2014   9:59:06
Solution file C:\Users\plane\Documents\Superfish\MC.T35.
Memory used for MC.T35 arrays:     243.100 K
Obtaining filename or plot type and data from SF7 pop-up menu.

Electromagnetic fields for a rectangular area with corners at:
(Zmin,Rmin) = (-5.22,0.0)
(Zmax,Rmax) = (5.22,14.22)
Z and R increments:   200   200

      Z             R              Ez            Er            |E|           H 
    (cm)          (cm)           (MV/m)        (MV/m)        (MV/m)        (A/m) 
   3.07980       0.00000      1.000001E+00  0.000000E+00  1.000001E+00  0.000000E+00
   3.13200       0.00000      1.000001E+00  0.000000E+00  1.000001E+00  0.000000E+00
   3.18420       0.00000      1.000001E+00  0.000000E+00  1.000001E+00  0.000000E+00
   3.23640       0.00000      1.000001E+00  0.000000E+00  1.000001E+00  0.000000E+00
   3.28860       0.00000      1.000001E+00  0.000000E+00  1.000001E+00  0.000000E+00
   3.34080       0.00000      1.000001E+00  0.000000E+00  1.000001E+00  0.000000E+00
   3.39300       0.00000      1.000001E+00  0.000000E+00  1.000001E+00  0.000000E+00
   3.44520       0.00000      1.000001E+00  0.000000E+00  1.000001E+00  0.000000E+00
   3.49740       0.00000      1.000001E+00  0.000000E+00  1.000001E+00  0.000000E+00
   3.54960       0.00000      1.000001E+00  0.000000E+00  1.000001E+00  0.000000E+00
   3.60180       0.00000      1.000001E+00  0.000000E+00  1.000001E+00  0.000000E+00
   3.65400       0.00000      1.000001E+00  0.000000E+00  1.000001E+00  0.000000E+00
   3.70620       0.00000      1.000001E+00  0.000000E+00  1.000001E+00  0.000000E+00
   3.75840       0.00000      1.000001E+00  0.000000E+00  1.000001E+00  0.000000E+00
   3.81060       0.00000      1.000001E+00  0.000000E+00  1.000001E+00  0.000000E+00
   3.86280       0.00000      1.000001E+00  0.000000E+00  1.000001E+00  0.000000E+00
   3.91500       0.00000      1.000001E+00  0.000000E+00  1.000001E+00  0.000000E+00
   3.96720       0.00000      1.000001E+00  0.000000E+00  1.000001E+00  0.000000E+00
   4.01940       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
   4.07160       0.00000      1.000001E+00  0.000000E+00  1.000001E+00  0.000000E+00
   4.12380       0.00000      1.000001E+00  0.000000E+00  1.000001E+00  0.000000E+00
   4.17600       0.00000      1.000001E+00  0.000000E+00  1.000001E+00  0.000000E+00
   4.22820       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
   4.28040       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
   4.33260       0.00000      1.000001E+00  0.000000E+00  1.000001E+00  0.000000E+00
   4.38480       0.00000      1.000001E+00  0.000000E+00  1.000001E+00  0.000000E+00
   4.43700       0.00000      1.000001E+00  0.000000E+00  1.000001E+00  0.000000E+00
   4.48920       0.00000      1.000001E+00  0.000000E+00  1.000001E+00  0.000000E+00
   4.54140       0.00000      1.000001E+00  0.000000E+00  1.000001E+00  0.000000E+00
   4.59360       0.00000      1.000001E+00  0.000000E+00  1.000001E+00  0.000000E+00
   4.64580       0.00000      1.000007E+00  0.000000E+00  1.000007E+00  0.000000E+00
   4.69800       0.00000      1.000007E+00  0.000000E+00  1.000007E+00  0.000000E+00
   4.75020       0.00000      1.000008E+00  0.000000E+00  1.000008E+00  0.000000E+00
   4.80240       0.00000      1.000008E+00  0.000000E+00  1.000008E+00  0.000000E+00
   4.85460       0.00000      9.999983E-01  0.000000E+00  9.999983E-01  0.000000E+00
   4.90680       0.00000      9.999980E-01  0.000000E+00  9.999980E-01  0.000000E+00
   4.95900       0.00000      9.999978E-01  0.000000E+00  9.999978E-01  0.000000E+00
   5.01120       0.00000      9.999976E-01  0.000000E+00  9.999976E-01  0.000000E+00
   5.06340       0.00000      9.999922E-01  0.000000E+00  9.999922E-01  0.000000E+00
   5.11560       0.00000      9.999918E-01  0.000000E+00  9.999918E-01  0.000000E+00
   5.16780       0.00000      9.999916E-01  0.000000E+00  9.999916E-01  0.000000E+00
   5.22000       0.00000      9.999915E-01  0.000000E+00  9.999915E-01  0.000000E+00
  -5.22000      7.110000E-02  9.996688E-01  0.000000E+00  9.996688E-01  1.595487E+01
  -5.16780      7.110000E-02  9.996693E-01 -5.774660E-07  9.996693E-01  1.595488E+01
  -5.11560      7.110000E-02  9.996705E-01 -1.154932E-06  9.996705E-01  1.595490E+01
  -5.06340      7.110000E-02  9.996727E-01 -1.732398E-06  9.996727E-01  1.595493E+01
  -5.01120      7.110000E-02  9.996790E-01  1.085266E-07  9.996790E-01  1.595502E+01
  -4.95900      7.110000E-02  9.996788E-01  1.356582E-07  9.996788E-01  1.595502E+01
  -4.90680      7.110000E-02  9.996786E-01  1.627899E-07  9.996786E-01  1.595501E+01
  -4.85460      7.110000E-02  9.996783E-01  1.899215E-07  9.996783E-01  1.595501E+01
  -4.80240      7.110000E-02  9.996848E-01 -1.912503E-07  9.996848E-01  1.595512E+01
  -4.75020      7.110000E-02  9.996850E-01 -9.632734E-08  9.996850E-01  1.595513E+01
  -4.69800      7.110000E-02  9.996851E-01 -1.404423E-09  9.996851E-01  1.595513E+01
  -4.64580      7.110000E-02  9.996850E-01  9.351849E-08  9.996850E-01  1.595513E+01
  -4.59360      7.110000E-02  9.996869E-01 -1.818041E-07  9.996869E-01  1.595516E+01
  -4.54140      7.110000E-02  9.996871E-01 -7.897154E-08  9.996871E-01  1.595516E+01
  -4.48920      7.110000E-02  9.996872E-01  2.386102E-08  9.996872E-01  1.595516E+01
  -4.43700      7.110000E-02  9.996871E-01  1.266936E-07  9.996871E-01  1.595516E+01
  -4.38480      7.110000E-02  9.996872E-01 -1.481599E-07  9.996872E-01  1.595516E+01
  -4.33260      7.110000E-02  9.996873E-01 -4.891978E-08  9.996873E-01  1.595517E+01
  -4.28040      7.110000E-02  9.996873E-01  5.032029E-08  9.996873E-01  1.595517E+01
  -4.22820      7.110000E-02  9.996872E-01  1.495604E-07  9.996872E-01  1.595516E+01
  -4.17600      7.110000E-02  9.996872E-01 -1.241021E-07  9.996872E-01  1.595516E+01
  -4.12380      7.110000E-02  9.996873E-01 -2.715030E-08  9.996873E-01  1.595517E+01
  -4.07160      7.110000E-02  9.996873E-01  6.980145E-08  9.996873E-01  1.595517E+01
  -4.01940      7.110000E-02  9.996871E-01  1.667532E-07  9.996871E-01  1.595516E+01
  -3.96720      7.110000E-02  9.996872E-01 -1.052310E-07  9.996872E-01  1.595516E+01
  -3.91500      7.110000E-02  9.996872E-01 -9.514412E-09  9.996872E-01  1.595517E+01
  -3.86280      7.110000E-02  9.996872E-01  8.620222E-08  9.996872E-01  1.595516E+01
  -3.81060      7.110000E-02  9.996870E-01 -1.835629E-07  9.996870E-01  1.595516E+01
  -3.75840      7.110000E-02  9.996872E-01 -8.857490E-08  9.996872E-01  1.595516E+01
  -3.70620      7.110000E-02  9.996872E-01  6.413055E-09  9.996872E-01  1.595517E+01
  -3.65400      7.110000E-02  9.996871E-01  1.014010E-07  9.996871E-01  1.595516E+01
  -3.60180      7.110000E-02  9.996870E-01 -1.674613E-07  9.996870E-01  1.595516E+01
  -3.54960      7.110000E-02  9.996872E-01 -7.294603E-08  9.996872E-01  1.595516E+01
  -3.49740      7.110000E-02  9.996872E-01  2.156920E-08  9.996872E-01  1.595517E+01
