Los Alamos National Laboratory Poisson Superfish
Program SF7 written by James H. Billen and Lloyd M. Young

The original Poisson Superfish codes were developed
by Ron F. Holsinger in collaboration with Klaus Halbach.
These programs are provided as a service to the accelerator
community by the Los Alamos Accelerator Code Group (LAACG).

(c) Copyright 1985-2005, by the Regents of the University of California.        
This software was produced under U. S. Government contract W-7405-ENG-36        
by Los Alamos National Laboratory, which is operated by the University          
of California for the U. S. Department of Energy.  Neither the Government       
nor the University makes any warranty, express or implied, or assumes           
any liability or responsibility for its use, or represents that use of          
this software would not infringe privately owned rights.                        
Unpublished - rights reserved under Copyright Laws of the United States.        


Program SF7  7.17  released 1-13-2006 

Program file: C:\LANL\SF7.EXE
SF.INI file: C:\LANL\SF.INI 12-29-2014   9:59:06
Solution file C:\Users\plane\Documents\Superfish\HPRF.T35.
Memory used for HPRF.T35 arrays:     157.872 K
Obtaining filename or plot type and data from SF7 pop-up menu.

Electromagnetic fields for a rectangular area with corners at:
(Zmin,Rmin) = (-4.064,0.0)
(Zmax,Rmax) = (4.064,11.43)
Z and R increments:   100   100

      Z             R              Ez            Er            |E|           H 
    (cm)          (cm)           (MV/m)        (MV/m)        (MV/m)        (A/m) 
   3.73888      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   3.82016      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   3.90144      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   3.98272      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   4.06400      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -4.06400      0.228600      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -3.98272      0.228600      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -3.90144      0.228600      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -3.82016      0.228600      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -3.73888      0.228600      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -3.65760      0.228600      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -3.57632      0.228600      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -3.49504      0.228600      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -3.41376      0.228600      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -3.33248      0.228600      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -3.25120      0.228600      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -3.16992      0.228600      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -3.08864      0.228600      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -3.00736      0.228600      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -2.92608      0.228600      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -2.84480      0.228600      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -2.76352      0.228600      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -2.68224      0.228600      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -2.60096      0.228600      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -2.51968      0.228600      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -2.43840      0.228600      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -2.35712      0.228600      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -2.27584      0.228600      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -2.19456      0.228600      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -2.11328      0.228600      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -2.03200      0.228600      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -1.95072      0.228600      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -1.86944      0.228600      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -1.78816      0.228600      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -1.70688      0.228600      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -1.62560      0.228600      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -1.54432      0.228600      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -1.46304      0.228600      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -1.38176      0.228600      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -1.30048      0.228600      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -1.21920      0.228600      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -1.13792      0.228600      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -1.05664      0.228600      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
 -0.975360      0.228600      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
 -0.894080      0.228600      4.907871E+01  3.423860E+00  4.919799E+01  2.572410E+03
 -0.812800      0.228600      4.667924E+01  3.314781E+00  4.679679E+01  2.440486E+03
 -0.731520      0.228600      4.446750E+01  2.905729E+00  4.456234E+01  2.326653E+03
 -0.650240      0.228600      4.254665E+01  2.496677E+00  4.261984E+01  2.227791E+03
 -0.568960      0.228600      4.078143E+01  2.071201E+00  4.083399E+01  2.127659E+03
 -0.487680      0.228600      3.943702E+01  1.709954E+00  3.947407E+01  2.058465E+03
 -0.406400      0.228600      3.828402E+01  1.379974E+00  3.830888E+01  1.992168E+03
 -0.325120      0.228600      3.740998E+01  1.078279E+00  3.742551E+01  1.947183E+03
 -0.243840      0.228600      3.675047E+01  7.765847E-01  3.675867E+01  1.913239E+03
